,epochs,NMI,ARI,ACC
0,0,0.7936018817772222,0.7947232176856422,0.8176190476190476
1,1,0.7951960010699033,0.7962975153696104,0.819047619047619
2,2,0.7922755030538928,0.7929080304634842,0.8161904761904762
3,3,0.7931415553040257,0.7952813952950254,0.8171428571428572
4,4,0.7945096344080179,0.7952603987490859,0.8176190476190476
5,5,0.7937176257805396,0.7948791396449294,0.8171428571428572
6,6,0.7950709300360479,0.7972965456046937,0.8180952380952381
7,7,0.7942693339147497,0.7952995403377245,0.8180952380952381
8,8,0.7934966157961152,0.7936370363678428,0.8171428571428572
