,epochs,NMI,ARI,ACC
0,0,0.6456434458897287,0.47624867454107184,0.6704761904761904
1,1,0.6447870802092474,0.4757275780074781,0.67
2,2,0.6468418849063351,0.4773359295748806,0.670952380952381
3,3,0.6442900277372414,0.4762574383914348,0.6704761904761904
4,4,0.6451918611291646,0.4764988256901233,0.6704761904761904
5,5,0.6475461009837676,0.4781906136961198,0.6714285714285714
6,6,0.6468794769014926,0.4780214323719016,0.6714285714285714
7,7,0.646261458809202,0.4769846095581386,0.6704761904761904
8,8,0.645445174282294,0.47655453447074114,0.67
9,9,0.647671362659697,0.47822628529075895,0.6719047619047619
10,10,0.6458867401147641,0.4779729961767595,0.6714285714285714
11,11,0.6472887842311139,0.4773821409452733,0.670952380952381
12,12,0.6444641008694325,0.4747761604539716,0.669047619047619
13,13,0.6443457463131584,0.47652971490206175,0.670952380952381
14,14,0.6451679993215481,0.4766290700045925,0.67
15,15,0.6458261655531632,0.478147472093054,0.6714285714285714
16,16,0.6444523455599805,0.4760883644870278,0.6695238095238095
17,17,0.6472254252187739,0.4785094301517337,0.6719047619047619
18,18,0.645651471297065,0.4769078580044276,0.6704761904761904
19,19,0.6466878612323834,0.4774211577750983,0.6704761904761904
20,20,0.646737441826733,0.47858854795881156,0.6719047619047619
21,21,0.6471604479428993,0.4788585813758641,0.6719047619047619
22,22,0.6482103152330988,0.47914551408528067,0.6719047619047619
23,23,0.646853247154522,0.4781921345601067,0.6714285714285714
24,24,0.6456245865122848,0.476994481271031,0.6704761904761904
25,25,0.6451988186671083,0.47709585581010144,0.670952380952381
26,26,0.6461061658380708,0.47725648243365654,0.670952380952381
27,27,0.6453182123359879,0.47694502673788003,0.6704761904761904
28,28,0.6460209335779465,0.47766002562475834,0.670952380952381
29,29,0.645599540839025,0.4767735376526273,0.67
30,30,0.6459823559852739,0.4776314684505261,0.670952380952381
31,31,0.6482008661809294,0.47889968029870866,0.6714285714285714
32,32,0.6481566505121473,0.4789464499741627,0.6719047619047619
33,33,0.646298660436886,0.47799257725578903,0.6714285714285714
34,34,0.6477159939280037,0.47850076321788493,0.6714285714285714
